Country_Name	Country_Code	Region	Region_ID	Income_group
Argentina	ARG	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Antigua_and_Barbuda	ATG	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Bahamas_The	BHS	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Belize	BLZ	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Bolivia	BOL	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Brazil	BRA	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Barbados	BRB	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Chile	CHL	Latin_America_and_the_Caribbean	LAC	High_income:_OECD
Colombia	COL	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Costa_Rica	CRI	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Cuba	CUB	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Curacao	CUW	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Cayman_Islands	CYM	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Dominica	DMA	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Dominican_Republic	DOM	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Ecuador	ECU	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Grenada	GRD	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Guatemala	GTM	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Guyana	GUY	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Honduras	HND	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Haiti	HTI	Latin_America_and_the_Caribbean	LAC	Low_income
Jamaica	JAM	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
St._Kitts_and_Nevis	KNA	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
St._Lucia	LCA	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
St._Martin_(French_part)	MAF	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Mexico	MEX	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Nicaragua	NIC	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Panama	PAN	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Peru	PER	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Puerto_Rico	PRI	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Paraguay	PRY	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
El_Salvador	SLV	Latin_America_and_the_Caribbean	LAC	Lower_middle_income
Suriname	SUR	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Sint_Maarten_(Dutch_part)	SXM	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Turks_and_Caicos_Islands	TCA	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Trinidad_and_Tobago	TTO	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
Uruguay	URY	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
St._Vincent_and_the_Grenadines	VCT	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Venezuela_RB	VEN	Latin_America_and_the_Caribbean	LAC	Upper_middle_income
Virgin_Islands_(U.S.)	VIR	Latin_America_and_the_Caribbean	LAC	High_income:_nonOECD
United_Arab_Emirates	ARE	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Bahrain	BHR	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Djibouti	DJI	Middle_East_and_North_Africa	MEA	Lower_middle_income
Algeria	DZA	Middle_East_and_North_Africa	MEA	Upper_middle_income
Egypt_Arab_Rep.	EGY	Middle_East_and_North_Africa	MEA	Lower_middle_income
Iran_Islamic_Rep.	IRN	Middle_East_and_North_Africa	MEA	Upper_middle_income
Iraq	IRQ	Middle_East_and_North_Africa	MEA	Upper_middle_income
Israel	ISR	Middle_East_and_North_Africa	MEA	High_income:_OECD
Jordan	JOR	Middle_East_and_North_Africa	MEA	Upper_middle_income
Kuwait	KWT	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Lebanon	LBN	Middle_East_and_North_Africa	MEA	Upper_middle_income
Libya	LBY	Middle_East_and_North_Africa	MEA	Upper_middle_income
Morocco	MAR	Middle_East_and_North_Africa	MEA	Lower_middle_income
Malta	MLT	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Oman	OMN	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
West_Bank_and_Gaza	PSE	Middle_East_and_North_Africa	MEA	Lower_middle_income
Qatar	QAT	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Saudi_Arabia	SAU	Middle_East_and_North_Africa	MEA	High_income:_nonOECD
Syrian_Arab_Republic	SYR	Middle_East_and_North_Africa	MEA	Lower_middle_income
Tunisia	TUN	Middle_East_and_North_Africa	MEA	Upper_middle_income
Yemen_Rep.	YEM	Middle_East_and_North_Africa	MEA	Lower_middle_income
Bermuda	BMU	North_America	NAM	High_income:_nonOECD
Canada	CAN	North_America	NAM	High_income:_OECD
United_States	USA	North_America	NAM	High_income:_OECD
Afghanistan	AFG	South_Asia	SAS	Low_income
Bangladesh	BGD	South_Asia	SAS	Low_income
Bhutan	BTN	South_Asia	SAS	Lower_middle_income
India	IND	South_Asia	SAS	Lower_middle_income
Sri_Lanka	LKA	South_Asia	SAS	Lower_middle_income
Maldives	MDV	South_Asia	SAS	Upper_middle_income
Nepal	NPL	South_Asia	SAS	Low_income
Pakistan	PAK	South_Asia	SAS	Lower_middle_income
Angola	AGO	Sub-Saharan_Africa	SSA	Upper_middle_income
Burundi	BDI	Sub-Saharan_Africa	SSA	Low_income
Benin	BEN	Sub-Saharan_Africa	SSA	Low_income
Burkina_Faso	BFA	Sub-Saharan_Africa	SSA	Low_income
Botswana	BWA	Sub-Saharan_Africa	SSA	Upper_middle_income
Central_African_Republic	CAF	Sub-Saharan_Africa	SSA	Low_income
Cote_d'Ivoire	CIV	Sub-Saharan_Africa	SSA	Lower_middle_income
Cameroon	CMR	Sub-Saharan_Africa	SSA	Lower_middle_income
Congo_Dem._Rep.	COD	Sub-Saharan_Africa	SSA	Low_income
Congo_Rep.	COG	Sub-Saharan_Africa	SSA	Lower_middle_income
Comoros	COM	Sub-Saharan_Africa	SSA	Low_income
Cabo_Verde	CPV	Sub-Saharan_Africa	SSA	Lower_middle_income
Eritrea	ERI	Sub-Saharan_Africa	SSA	Low_income
Ethiopia	ETH	Sub-Saharan_Africa	SSA	Low_income
Gabon	GAB	Sub-Saharan_Africa	SSA	Upper_middle_income
Ghana	GHA	Sub-Saharan_Africa	SSA	Lower_middle_income
Guinea	GIN	Sub-Saharan_Africa	SSA	Low_income
Gambia_The	GMB	Sub-Saharan_Africa	SSA	Low_income
Guinea-Bissau	GNB	Sub-Saharan_Africa	SSA	Low_income
Equatorial_Guinea	GNQ	Sub-Saharan_Africa	SSA	High_income:_nonOECD
Kenya	KEN	Sub-Saharan_Africa	SSA	Low_income
Liberia	LBR	Sub-Saharan_Africa	SSA	Low_income
Lesotho	LSO	Sub-Saharan_Africa	SSA	Lower_middle_income
Madagascar	MDG	Sub-Saharan_Africa	SSA	Low_income
Mali	MLI	Sub-Saharan_Africa	SSA	Low_income
Mozambique	MOZ	Sub-Saharan_Africa	SSA	Low_income
Mauritania	MRT	Sub-Saharan_Africa	SSA	Lower_middle_income
Mauritius	MUS	Sub-Saharan_Africa	SSA	Upper_middle_income
Malawi	MWI	Sub-Saharan_Africa	SSA	Low_income
Namibia	NAM	Sub-Saharan_Africa	SSA	Upper_middle_income
Niger	NER	Sub-Saharan_Africa	SSA	Low_income
Nigeria	NGA	Sub-Saharan_Africa	SSA	Lower_middle_income
Rwanda	RWA	Sub-Saharan_Africa	SSA	Low_income
Sudan	SDN	Sub-Saharan_Africa	SSA	Lower_middle_income
Senegal	SEN	Sub-Saharan_Africa	SSA	Lower_middle_income
Sierra_Leone	SLE	Sub-Saharan_Africa	SSA	Low_income
Somalia	SOM	Sub-Saharan_Africa	SSA	Low_income
South_Sudan	SSD	Sub-Saharan_Africa	SSA	Lower_middle_income
Sao_Tome_and_Principe	STP	Sub-Saharan_Africa	SSA	Lower_middle_income
Swaziland	SWZ	Sub-Saharan_Africa	SSA	Lower_middle_income
Seychelles	SYC	Sub-Saharan_Africa	SSA	Upper_middle_income
Chad	TCD	Sub-Saharan_Africa	SSA	Low_income
Togo	TGO	Sub-Saharan_Africa	SSA	Low_income
Tanzania	TZA	Sub-Saharan_Africa	SSA	Low_income
Uganda	UGA	Sub-Saharan_Africa	SSA	Low_income
South_Africa	ZAF	Sub-Saharan_Africa	SSA	Upper_middle_income
Zambia	ZMB	Sub-Saharan_Africa	SSA	Lower_middle_income
Zimbabwe	ZWE	Sub-Saharan_Africa	SSA	Low_income
